mal_id,title,title_english,title_japanese,type,chapters,volumes,status,publishing,published_from,published_to,score,scored_by,rank,popularity,members,favorites,authors,serializations,genres,themes,demographics,synopsis,image_url
134585,Kin to Tetsu,Fungus and Iron,菌と鉄,Manga,,,Publishing,True,2021-03-09,,6.54,164.0,17436.0,14272,1401,5,"Katayama, Ayaka",Bessatsu Shounen Magazine,Action|Sci-Fi,,Shounen,"Dante's life on Amigasa seemed normal enough to him, even though everyone around him called him an oddball. But when a chance meeting with a young woman named Aoi changes everything, Dante can no longer sit idly by...unless, of course, he is made to!

(Source: Kodansha USA)",https://myanimelist.net/images/manga/2/247867.jpg
147363,Fast Forward,Fast Forward,빨리감기,Manhwa,53.0,,Finished,False,2021-01-21,2021-12-16,6.77,667.0,13763.0,14273,1401,7,"Porto|Hong, Junki",Naver Webtoon,Supernatural|Suspense,Survival,,"The final goal is to be the master of time. But in order to become the master, you must kill and steal. The universe has given powers to a select number of people. The only problem is, you can get your powers taken away... along with your life. The keepers of time will need to protect their powers or pay the ultimate price.

(Source: Webtoon Entertainment)",https://myanimelist.net/images/manga/1/261395.jpg
34447,Akari wo Otoshita Ato de,After Turning off a Light,灯を落としたあとで,Manga,7.0,1.0,Finished,False,2011-01-01,,6.6,573.0,,14275,1400,1,"Katou, Setsuko",Asuka Ciel,Boys Love|Erotica,,,"One day, a customer barged in Takumi’s tailor store requesting to buy a suit that didn't fit him well, but was in so much hurry he couldn't stay long enough to have it fixed or even get his receipt. He came back days later to apologize and order the commission of a new suit. As time went by, Takumi started taking an interest in Takano-sama. On the night Takumi was to deliver the suit, Takano-sama confessed that they had met once more before he came in the shop...

(Source: MU)",https://myanimelist.net/images/manga/2/62703.jpg
18056,Paradox Blue,,パラドクス・ブルー,Manga,27.0,5.0,Finished,False,2008-10-30,2010-11-30,7.14,349.0,7624.0,14276,1401,6,"Nakanishi, Tatsurou|nini",Comic Blade,Mystery|Sci-Fi|Supernatural,School,Shounen,"""What is the boundary between game and reality.""

The world is in danger. Strange juggernauts called ""Angels"" have started to appear all around the planet, presenting riddles called ""Angel Paradox"" to whoever happens to be in the near vicinity. Answer right and your land will receive God's blessing. However, fail to solve the paradox and the whole place will be literally nuked with divine punishment...",https://myanimelist.net/images/manga/3/160512.jpg
2456,Koisuru Piano,,恋するピアノ,Manga,3.0,1.0,Finished,False,2004-01-01,,7.24,708.0,6132.0,14277,1400,2,"Matsuno, Mika",Ribon Magazine,Drama|Romance,,Shoujo,"Nakaba used to play piano with her friend Haru, and they both enjoyed playing a song composed by Chopin, which then became their little secret piece. When Haru transferred to another city, Nakaba decided to give up on piano because she thought that the notes were just some mere dots on the paper and it was just too hard to understand them.

Six years later, her childhood friend Haru comes back and moved to her school just to see her again. Despite knowing that Nakaba had stopped playing piano for years, he still wants to play their secret piece and practice in a duet wtih her. Unfortunately, as Nakaba realizes, it is not going to be like old times because Haru has changed and he doesn't seem so gentle like before. What will Nakaba do? (Source: mangaupdates)",https://myanimelist.net/images/manga/3/14801.jpg
73701,EG Maker,,EGメーカー,Manga,31.0,4.0,Finished,False,2014-03-14,2015-08-12,6.36,293.0,19708.0,14277,1400,0,"Torikawa, Sora",Young Animal,Comedy|Ecchi,,Seinen,"Story about a Yuuka Yoshimi, a young girl working in a erotic game-making studio, learning how to... make a good ecchi CG.

Included one-shot:
Volume 1: EG Maker (pilot)",https://myanimelist.net/images/manga/3/188782.jpg
175607,"Tsuihou sareta Renkinjutsushi, Adult Goods de Sekai wo Sukuu: Donna Monster mo Zettai ni Ikaseru Otoko",,追放された錬金術師、アダルトグッズで世界を救う ～どんなモンスターも絶対にイカせる男～,Manga,,,Publishing,True,2024-10-21,,5.92,202.0,,14280,1400,2,"Ueda, Yuuri",Young Magazine Web,Adventure|Comedy|Fantasy|Erotica,Parody,Seinen,"""All you've made is adult goods!"" Orga-Zum, whose alchemy skill turns everything into ""adult goods,"" ends up kicked out of the party for ""bringing our rank down."" However, the female knight CKK Rose appears and discerns Orga's true power. The ""Sex War of the End,"" to save the world from destruction by lust monsters, begins now.

(Source: Kodansha, translated)",https://myanimelist.net/images/manga/2/319505.jpg
167998,Umarekawattara Teisou Gyakuten Sekai,I'm Reincarnated into a World of Reversed Chastity,生まれ変わったら貞操逆転世界,Manga,14.0,2.0,Finished,False,2022-04-25,2024-02-05,5.58,262.0,,14280,1401,0,"Aikawa, Tatsuki|Ryouma",Comic Vamp,Erotica,Isekai|School,,,https://myanimelist.net/images/manga/3/298326.jpg
125074,Ryuunen! Todome-senpai,,留年! とどめ先輩,Manga,32.0,4.0,Finished,False,2019-10-21,2021-09-22,6.11,386.0,21381.0,14283,1399,2,"Kawamura, Taku",Gangan Joker,Comedy|Romance|Ecchi,School,Shounen,"Sato is a high school boy struggling with his grades, but that's the least of his worries. His childhood friend and former upperclassman Waseda Todome wants to spend time with him (the keyword being ""former"", as she's repeating the first year and now shares classrooms with Sato).

The problem lies with the fact that, while being cute and flirty, she's dumb as bricks, and intends to make him sabotage his own grades because she doesn't want to be alone at the bottom of the school's grade ranks. However, it turns out that she's dumb as bricks when it comes to that too...

Todome's poor planning has some unintended consequences, as it readily reveals that her intentions with Sato do not lie purely within the academic side of things... Will Sato take the hint, notwithstanding Todome's bad clues?

(Source: Mangadex)",https://myanimelist.net/images/manga/2/227951.jpg
70189,Seikai no Monshou,,星界の紋章,Manga,41.0,8.0,Finished,False,2012-05-08,2021-04-09,7.34,256.0,4952.0,14283,1399,15,"Yonemura, Kouichirou|Morioka, Hiroyuki",Comic Meteor,Action|Adventure|Drama|Sci-Fi,Military|Space,Seinen,"Planet Martine is suddenly attacked! The alien invaders are known as the Abh. They are of human origin, but have been genetically modified so that each Abh has superior talent, skill, beauty, and longevity. Martine's president surrenders completely in the face of the Abh's awesome military power. Through a bizarre twist of fate, his son Jinto becomes a nobleman in the Abh's vast, intergalactic empire.",https://myanimelist.net/images/manga/2/123655.jpg
